ENCSENTS	DECSENTS
what are you going to do with my dog ? give him back to me !	all in good time , my little pretty -- all in good time .
oh , please give me back my dog !	certainly -- certainly -- when you give me those slippers .
but the Good Witch of the North told me not to .	very well ! throw that basket in the river and drown him !
no ! no -- no ! here -- you can have your old slippers -- but give me back Toto .	that's a good little girl . I knew you'd see reason .
ahh ! ah !	I'm sorry . I didn't do it ! can I still have my dog ?
run , Toto , run !	catch him , you fool !
oh ! oh , it feels like my joints are rusted . listen , Dorothy , don't let hunk kid you about Miss Gulch . she's just a poor sour-faced old maid that -- she ain't got no heart left . you know , you should have a little more heart yourself , and have pity on her .	well , gee , I try and have a heart .
this ?	sure . it's to break up winds , so we don't have no more dust storms . can you imagine what it'll mean to this section of the country ? I'll show you . it works perfectly now . here's the principle . you see that fan -- that sends up air currents into the sky . these air currents -- Oh , stop it !
oh !	who did it ? now wait a minute .
Hickory !	now what happened ? I'll bet hunk did that .
oh ! oh , Zeke ! help ! help me , Zeke ! get me out of here ! help !	are you all right , Dorothy ?
Uhhhh -- yes ...	I don't believe you !
Yes-s-s -- that ... that's exactly so . I'm a humbug !	oh ....
frightened ? you are talking to a man who has laughed in the face of death -- sneered at Doom and chuckled at catastrophe . I was petrified . then suddenly the wind changed , and the balloon floated down into the heart of this noble city , where I was instantly acclaimed Oz , the First Wizard de Luxe !	Ohhh !
times being what they were , I accepted the job , -- retaining my balloon against the advent of a quick get-away . and in that balloon , my dear Dorothy , you and I will return to the land of E Pluribus Unum !	oh ! come back ! don't go without me ! please come back !
I can't come back ! I don't know how it works !	oh --
our echo .	tap - tap - tap - tap - What was that - that - that ? our echo - echo - echo .
oh , come on - come on ! we'll soon find the Wizard !	the Wizard - The Wizard - The Great and powerful Wizard of Oz - Oz - Oz-Oz - Oz - Oz - Oz - Oz !
... have you come back ?	please , sir . we've done what you told us . we've brought you the broomstick of the wicked Witch of the West . we melted her .
... resourceful !	yes , sir . so we'd like you to keep your promise to us , if you please , sir .
if you were really great and powerful , you'd keep your promises !	do you presume to criticize the ....
... -- Oz -- has spoken !	who are you ?
well , I -- I -- I am the Great and powerful -- Wizard of Oz .	you are ?
as Mayor of the Munchkin City In the County of the Land of Oz I welcome you most regally	but we've got to verify it legally To see ...
to see ?	if she ...
if she ?	is morally , Ethic'ly
then this is a day of Independence For all the Munchkins and their descendants !	if any !
from now on you'll be history	you'll be hist ...
look at you , Zeke -- you're just as white --	here , here , what's all this jabber-wapping when there's work to be done ? I know three shiftless farm hands that'll be out of a job before they know it !
well , Dorothy was walking along the --	I saw you tinkering with that contraption , Hickory . now , you and hunk get back to that wagon !
all right , Mrs. Gale . but some day they're going to erect a statue to me in this town , and --	well , don't start posing for it now . here , here -- can't work on an empty stomach . have some crullers .
poor little orphan , and her Miss Gulch troubles . gosh all hemlock - you know , she ought to have somebody to play with .	I know , but we all got to work out our own problems , Henry .
yes .	oh , I hope we got them in time .
uhh -- yeah --	now , we can't go against the law , Dorothy . I'm afraid poor Toto will have to go .
Aunt Em !	fifty-seven , fifty-eight --
just listen to what Miss Gulch did to Toto ! she --	Dorothy , please ! we're trying to count ! Fifty-eight--
seventy -- Dorothy , please !	oh , but he doesn't do it every day -- just once or twice a week . and he can't catch her old cat , anyway . and now she says she's gonna get the sheriff , and --
Dorothy ! Dorothy ! we're busy !	oh -- all right .
now , Dorothy , dear , stop imagining things . you always get yourself into a fret over nothing .	no --
Dorothy !	you wicked old witch ! Uncle Henry , Auntie Em , don't let' em take Toto ! don't let her take him -- please !
-- no place like home -- there's no place like home -- no place --	Dorothy . Dorothy , dear . it's Aunt Em , darling .
oh , Auntie Em -- it's you !	yes , darling .
but I did leave you , Uncle Henry -- that's just the trouble . and I tried to get back for days and days .	there , there , lie quiet now . you just had a bad dream .
oh , we dream lots of silly things when we --	no , Aunt Em -- this was a real , truly live place . and I remember that some of it wasn't very nice ....
is this where we're going ?	of course not . we're going to Baltimore . it's much nicer in Baltimore .
momma ... are they angry with us .	no ... No . it is just the English way .
I don't want to stay here .	they are English . they don't understand .
I wish dawdie was with us .	I know . sleep now , Liebchen .
no , you listen . get out !	lady , I'm here to help you . this man is very dangerous . an armed criminal . he's got a gun , hasn't he ?
you might have killed him !	find Fergie , check the barns . I'll watch these two .
get back in there .	my son is out there !
she say where he is ?	I don't think she knows .
what about Carter ?	tight . but I'm working on him .
weird , man . no fuckin' electricity . what do you figure they plug all their shit into ?	they don't have any shit .
he's not in this building .	all right , where is he ?
never seen anything like that in all my years .	he's from ... Ohio ... My cousin .
we'll , them Ohio Amish sure must be different . our Lancaster brethren , they just don't have that kind of fight in them .	John , lost control of himself . he ... will be repentant .
you're Rachel Lapp , aren't you ?	yes . Samuel ! we're going .
who was that man ?	his name is John Book .
is the English dead ?	no ...
that has no place in this house .	I know .
didn't you hear Stoltzfus ? what if he dies ? then the sheriff will come . they'll say we broke their laws –	we'll pray that he doesn't die ! but if he does , then we'll find a way so no one knows !
Rachel , this is a man's life , we hold it in our hands .	I know God help me , I know that , Eli . but I tell you that if he's found here , the people who did this to him will come for Samuel .
Eli , John is a carpenter . as well as being a fine policeman .	eh ? well then , maybe he can go to Zook's barn-raising , eh ? see how good a carpenter .
how can this be ? how can you do such a thing ? is this plain ? is this the ordnung ?	I have done nothing against the ordnung .
eh ? nothing ? Rachel , you bring this man to our house . with his gun of the hand . you bring fear to this house . fear of English with guns coming after . you bring blood and whispers of more blood . now English music ... and you are dancing to English music ! and you call this nothing ?	I have committed no sin .
no sin ? maybe . not yet . but , Rachel , it does not look ... Don't you know there has been talk ? talk about you , not him . talk about going to the Bishop . about having you ... shunned !	that is idle talk .
do not make light of it , Rachel . they can do it ... quick ! like that ! and then ... then I can not sit at table with you . I can not take a thing from your hand . I ... I can not go with you to meeting ! Rachel , good Rachel , you must not go too far ! dear child !	I am not a child .
